編碼,代表,發行日期
0,南投縣中寮鄉,2018/05/31
1,南投縣仁愛鄉,2018/05/31
2,南投縣信義鄉,2018/05/31
3,南投縣南投市,2018/05/31
4,南投縣名間鄉,2018/05/31
5,南投縣國姓鄉,2018/05/31
6,南投縣埔里鎮,2018/05/31
7,南投縣水里鄉,2018/05/31
8,南投縣竹山鎮,2018/05/31
9,南投縣草屯鎮,2018/05/31
10,南投縣集集鎮,2018/05/31
11,南投縣魚池鄉,2018/05/31
12,南投縣鹿谷鄉,2018/05/31
500,嘉義市東區,2018/05/31
501,嘉義市西區,2018/05/31
600,嘉義縣中埔鄉,2018/05/31
601,嘉義縣六腳鄉,2018/05/31
602,嘉義縣大埔鄉,2018/05/31
603,嘉義縣大林鎮,2018/05/31
604,嘉義縣太保市,2018/05/31
605,嘉義縣布袋鎮,2018/05/31
606,嘉義縣新港鄉,2018/05/31
607,嘉義縣朴子市,2018/05/31
608,嘉義縣東石鄉,2018/05/31
609,嘉義縣梅山鄉,2018/05/31
610,嘉義縣民雄鄉,2018/05/31
611,嘉義縣水上鄉,2018/05/31
612,嘉義縣溪口鄉,2018/05/31
613,嘉義縣番路鄉,2018/05/31
614,嘉義縣竹崎鄉,2018/05/31
615,嘉義縣義竹鄉,2018/05/31
616,嘉義縣阿里山鄉,2018/05/31
617,嘉義縣鹿草鄉,2018/05/31
700,基隆市七堵區,2018/05/31
701,基隆市中山區,2018/05/31
702,基隆市中正區,2018/05/31
703,基隆市仁愛區,2018/05/31
704,基隆市信義區,2018/05/31
705,基隆市安樂區,2018/05/31
706,基隆市暖暖區,2018/05/31
800,宜蘭縣三星鄉,2018/05/31
801,宜蘭縣五結鄉,2018/05/31
802,宜蘭縣冬山鄉,2018/05/31
803,宜蘭縣南澳鄉,2018/05/31
804,宜蘭縣員山鄉,2018/05/31
805,宜蘭縣壯圍鄉,2018/05/31
806,宜蘭縣大同鄉,2018/05/31
807,宜蘭縣宜蘭市,2018/05/31
808,宜蘭縣礁溪鄉,2018/05/31
809,宜蘭縣羅東鎮,2018/05/31
810,宜蘭縣蘇澳鎮,2018/05/31
811,宜蘭縣頭城鎮,2018/05/31
900,屏東縣三地門鄉,2018/05/31
901,屏東縣九如鄉,2018/05/31
902,屏東縣佳冬鄉,2018/05/31
903,屏東縣來義鄉,2018/05/31
904,屏東縣內埔鄉,2018/05/31
905,屏東縣南州鄉,2018/05/31
906,屏東縣屏東市,2018/05/31
907,屏東縣崁頂鄉,2018/05/31
908,屏東縣恆春鎮,2018/05/31
909,屏東縣新園鄉,2018/05/31
910,屏東縣新埤鄉,2018/05/31
911,屏東縣春日鄉,2018/05/31
912,屏東縣東港鎮,2018/05/31
913,屏東縣枋寮鄉,2018/05/31
914,屏東縣枋山鄉,2018/05/31
915,屏東縣林邊鄉,2018/05/31
916,屏東縣泰武鄉,2018/05/31
917,屏東縣滿州鄉,2018/05/31
918,屏東縣潮州鎮,2018/05/31
919,屏東縣牡丹鄉,2018/05/31
920,屏東縣獅子鄉,2018/05/31
921,屏東縣琉球鄉,2018/05/31
922,屏東縣瑪家鄉,2018/05/31
923,屏東縣竹田鄉,2018/05/31
924,屏東縣萬丹鄉,2018/05/31
925,屏東縣萬巒鄉,2018/05/31
926,屏東縣車城鄉,2018/05/31
927,屏東縣里港鄉,2018/05/31
928,屏東縣長治鄉,2018/05/31
929,屏東縣霧臺鄉,2018/05/31
930,屏東縣高樹鄉,2018/05/31
931,屏東縣鹽埔鄉,2018/05/31
932,屏東縣麟洛鄉,2018/05/31
1000,彰化縣二林鎮,2018/05/31
1001,彰化縣二水鄉,2018/05/31
1002,彰化縣伸港鄉,2018/05/31
1003,彰化縣北斗鎮,2018/05/31
1004,彰化縣和美鎮,2018/05/31
1005,彰化縣員林市,2018/05/31
1006,彰化縣埔心鄉,2018/05/31
1007,彰化縣埔鹽鄉,2018/05/31
1008,彰化縣埤頭鄉,2018/05/31
1009,彰化縣大城鄉,2018/05/31
1010,彰化縣大村鄉,2018/05/31
1011,彰化縣彰化市,2018/05/31
1012,彰化縣永靖鄉,2018/05/31
1013,彰化縣溪州鄉,2018/05/31
1014,彰化縣溪湖鎮,2018/05/31
1015,彰化縣田中鎮,2018/05/31
1016,彰化縣田尾鄉,2018/05/31
1017,彰化縣社頭鄉,2018/05/31
1018,彰化縣福興鄉,2018/05/31
1019,彰化縣秀水鄉,2018/05/31
1020,彰化縣竹塘鄉,2018/05/31
1021,彰化縣線西鄉,2018/05/31
1022,彰化縣芬園鄉,2018/05/31
1023,彰化縣花壇鄉,2018/05/31
1024,彰化縣芳苑鄉,2018/05/31
1025,彰化縣鹿港鎮,2018/05/31
1100,新北市三峽區,2018/05/31
1101,新北市三芝區,2018/05/31
1102,新北市三重區,2018/05/31
1103,新北市中和區,2018/05/31
1104,新北市五股區,2018/05/31
1105,新北市八里區,2018/05/31
1106,新北市土城區,2018/05/31
1107,新北市坪林區,2018/05/31
1108,新北市平溪區,2018/05/31
1109,新北市新店區,2018/05/31
1110,新北市新莊區,2018/05/31
1111,新北市板橋區,2018/05/31
1112,新北市林口區,2018/05/31
1113,新北市樹林區,2018/05/31
1114,新北市永和區,2018/05/31
1115,新北市汐止區,2018/05/31
1116,新北市泰山區,2018/05/31
1117,新北市淡水區,2018/05/31
1118,新北市深坑區,2018/05/31
1119,新北市烏來區,2018/05/31
1120,新北市瑞芳區,2018/05/31
1121,新北市石碇區,2018/05/31
1122,新北市石門區,2018/05/31
1123,新北市萬里區,2018/05/31
1124,新北市蘆洲區,2018/05/31
1125,新北市貢寮區,2018/05/31
1126,新北市金山區,2018/05/31
1127,新北市雙溪區,2018/05/31
1128,新北市鶯歌區,2018/05/31
1200,新竹市北區,2018/05/31
1201,新竹市東區,2018/05/31
1202,新竹市香山區,2018/05/31
1300,新竹縣五峰鄉,2018/05/31
1301,新竹縣北埔鄉,2018/05/31
1302,新竹縣寶山鄉,2018/05/31
1303,新竹縣尖石鄉,2018/05/31
1304,新竹縣峨眉鄉,2018/05/31
1305,新竹縣新埔鎮,2018/05/31
1306,新竹縣新豐鄉,2018/05/31
1307,新竹縣橫山鄉,2018/05/31
1308,新竹縣湖口鄉,2018/05/31
1309,新竹縣竹北市,2018/05/31
1310,新竹縣竹東鎮,2018/05/31
1311,新竹縣芎林鄉,2018/05/31
1312,新竹縣關西鎮,2018/05/31
1400,桃園市中壢區,2018/05/31
1401,桃園市八德區,2018/05/31
1402,桃園市大園區,2018/05/31
1403,桃園市大溪區,2018/05/31
1404,桃園市平鎮區,2018/05/31
1405,桃園市復興區,2018/05/31
1406,桃園市新屋區,2018/05/31
1407,桃園市桃園區,2018/05/31
1408,桃園市楊梅區,2018/05/31
1409,桃園市蘆竹區,2018/05/31
1410,桃園市觀音區,2018/05/31
1411,桃園市龍潭區,2018/05/31
1412,桃園市龜山區,2018/05/31
1500,澎湖縣七美鄉,2018/05/31
1501,澎湖縣望安鄉,2018/05/31
1502,澎湖縣湖西鄉,2018/05/31
1503,澎湖縣白沙鄉,2018/05/31
1504,澎湖縣西嶼鄉,2018/05/31
1505,澎湖縣馬公市,2018/05/31
1600,臺中市中區,2018/05/31
1601,臺中市北區,2018/05/31
1602,臺中市北屯區,2018/05/31
1603,臺中市南區,2018/05/31
1604,臺中市南屯區,2018/05/31
1605,臺中市后里區,2018/05/31
1606,臺中市和平區,2018/05/31
1607,臺中市外埔區,2018/05/31
1608,臺中市大安區,2018/05/31
1609,臺中市大甲區,2018/05/31
1610,臺中市大肚區,2018/05/31
1611,臺中市大里區,2018/05/31
1612,臺中市大雅區,2018/05/31
1613,臺中市太平區,2018/05/31
1614,臺中市新社區,2018/05/31
1615,臺中市東勢區,2018/05/31
1616,臺中市東區,2018/05/31
1617,臺中市梧棲區,2018/05/31
1618,臺中市沙鹿區,2018/05/31
1619,臺中市清水區,2018/05/31
1620,臺中市潭子區,2018/05/31
1621,臺中市烏日區,2018/05/31
1622,臺中市石岡區,2018/05/31
1623,臺中市神岡區,2018/05/31
1624,臺中市西區,2018/05/31
1625,臺中市西屯區,2018/05/31
1626,臺中市豐原區,2018/05/31
1627,臺中市霧峰區,2018/05/31
1628,臺中市龍井區,2018/05/31
1700,臺北市中山區,2018/05/31
1701,臺北市中正區,2018/05/31
1702,臺北市信義區,2018/05/31
1703,臺北市內湖區,2018/05/31
1704,臺北市北投區,2018/05/31
1705,臺北市南港區,2018/05/31
1706,臺北市士林區,2018/05/31
1707,臺北市大同區,2018/05/31
1708,臺北市大安區,2018/05/31
1709,臺北市文山區,2018/05/31
1710,臺北市松山區,2018/05/31
1711,臺北市萬華區,2018/05/31
1800,臺南市七股區,2018/05/31
1801,臺南市下營區,2018/05/31
1802,臺南市中西區,2018/05/31
1803,臺南市仁德區,2018/05/31
1804,臺南市佳里區,2018/05/31
1805,臺南市六甲區,2018/05/31
1806,臺南市北區,2018/05/31
1807,臺南市北門區,2018/05/31
1808,臺南市南化區,2018/05/31
1809,臺南市南區,2018/05/31
1810,臺南市善化區,2018/05/31
1811,臺南市大內區,2018/05/31
1812,臺南市學甲區,2018/05/31
1813,臺南市安南區,2018/05/31
1814,臺南市安定區,2018/05/31
1815,臺南市安平區,2018/05/31
1816,臺南市官田區,2018/05/31
1817,臺南市將軍區,2018/05/31
1818,臺南市山上區,2018/05/31
1819,臺南市左鎮區,2018/05/31
1820,臺南市後壁區,2018/05/31
1821,臺南市新化區,2018/05/31
1822,臺南市新市區,2018/05/31
1823,臺南市新營區,2018/05/31
1824,臺南市東區,2018/05/31
1825,臺南市東山區,2018/05/31
1826,臺南市柳營區,2018/05/31
1827,臺南市楠西區,2018/05/31
1828,臺南市歸仁區,2018/05/31
1829,臺南市永康區,2018/05/31
1830,臺南市玉井區,2018/05/31
1831,臺南市白河區,2018/05/31
1832,臺南市西港區,2018/05/31
1833,臺南市關廟區,2018/05/31
1834,臺南市鹽水區,2018/05/31
1835,臺南市麻豆區,2018/05/31
1836,臺南市龍崎區,2018/05/31
1900,臺東縣卑南鄉,2018/05/31
1901,臺東縣大武鄉,2018/05/31
1902,臺東縣太麻里鄉,2018/05/31
1903,臺東縣延平鄉,2018/05/31
1904,臺東縣成功鎮,2018/05/31
1905,臺東縣東河鄉,2018/05/31
1906,臺東縣池上鄉,2018/05/31
1907,臺東縣海端鄉,2018/05/31
1908,臺東縣綠島鄉,2018/05/31
1909,臺東縣臺東市,2018/05/31
1910,臺東縣蘭嶼鄉,2018/05/31
1911,臺東縣達仁鄉,2018/05/31
1912,臺東縣金峰鄉,2018/05/31
1913,臺東縣長濱鄉,2018/05/31
1914,臺東縣關山鎮,2018/05/31
1915,臺東縣鹿野鄉,2018/05/31
2000,花蓮縣光復鄉,2018/05/31
2001,花蓮縣卓溪鄉,2018/05/31
2002,花蓮縣吉安鄉,2018/05/31
2003,花蓮縣壽豐鄉,2018/05/31
2004,花蓮縣富里鄉,2018/05/31
2005,花蓮縣新城鄉,2018/05/31
2006,花蓮縣玉里鎮,2018/05/31
2007,花蓮縣瑞穗鄉,2018/05/31
2008,花蓮縣秀林鄉,2018/05/31
2009,花蓮縣花蓮市,2018/05/31
2010,花蓮縣萬榮鄉,2018/05/31
2011,花蓮縣豐濱鄉,2018/05/31
2012,花蓮縣鳳林鎮,2018/05/31
2100,苗栗縣三灣鄉,2018/05/31
2101,苗栗縣三義鄉,2018/05/31
2102,苗栗縣公館鄉,2018/05/31
2103,苗栗縣卓蘭鎮,2018/05/31
2104,苗栗縣南庄鄉,2018/05/31
2105,苗栗縣大湖鄉,2018/05/31
2106,苗栗縣後龍鎮,2018/05/31
2107,苗栗縣泰安鄉,2018/05/31
2108,苗栗縣獅潭鄉,2018/05/31
2109,苗栗縣竹南鎮,2018/05/31
2110,苗栗縣苑裡鎮,2018/05/31
2111,苗栗縣苗栗市,2018/05/31
2112,苗栗縣西湖鄉,2018/05/31
2113,苗栗縣通霄鎮,2018/05/31
2114,苗栗縣造橋鄉,2018/05/31
2115,苗栗縣銅鑼鄉,2018/05/31
2116,苗栗縣頭份市,2018/05/31
2117,苗栗縣頭屋鄉,2018/05/31
2200,連江縣北竿鄉,2018/05/31
2201,連江縣南竿鄉,2018/05/31
2202,連江縣東引鄉,2018/05/31
2203,連江縣莒光鄉,2018/05/31
2300,金門縣烈嶼鄉,2018/05/31
2301,金門縣烏坵鄉,2018/05/31
2302,金門縣金城鎮,2018/05/31
2303,金門縣金寧鄉,2018/05/31
2304,金門縣金沙鎮,2018/05/31
2305,金門縣金湖鎮,2018/05/31
2400,雲林縣二崙鄉,2018/05/31
2401,雲林縣元長鄉,2018/05/31
2402,雲林縣北港鎮,2018/05/31
2403,雲林縣口湖鄉,2018/05/31
2404,雲林縣古坑鄉,2018/05/31
2405,雲林縣四湖鄉,2018/05/31
2406,雲林縣土庫鎮,2018/05/31
2407,雲林縣大埤鄉,2018/05/31
2408,雲林縣崙背鄉,2018/05/31
2409,雲林縣斗六市,2018/05/31
2410,雲林縣斗南鎮,2018/05/31
2411,雲林縣東勢鄉,2018/05/31
2412,雲林縣林內鄉,2018/05/31
2413,雲林縣水林鄉,2018/05/31
2414,雲林縣臺西鄉,2018/05/31
2415,雲林縣莿桐鄉,2018/05/31
2416,雲林縣虎尾鎮,2018/05/31
2417,雲林縣褒忠鄉,2018/05/31
2418,雲林縣西螺鎮,2018/05/31
2419,雲林縣麥寮鄉,2018/05/31
2500,高雄市三民區,2018/05/31
2501,高雄市仁武區,2018/05/31
2502,高雄市內門區,2018/05/31
2503,高雄市六龜區,2018/05/31
2504,高雄市前金區,2018/05/31
2505,高雄市前鎮區,2018/05/31
2506,高雄市大寮區,2018/05/31
2507,高雄市大樹區,2018/05/31
2508,高雄市大社區,2018/05/31
2509,高雄市小港區,2018/05/31
2510,高雄市岡山區,2018/05/31
2511,高雄市左營區,2018/05/31
2512,高雄市彌陀區,2018/05/31
2513,高雄市新興區,2018/05/31
2514,高雄市旗山區,2018/05/31
2515,高雄市旗津區,2018/05/31
2516,高雄市杉林區,2018/05/31
2517,高雄市林園區,2018/05/31
2518,高雄市桃源區,2018/05/31
2519,高雄市梓官區,2018/05/31
2520,高雄市楠梓區,2018/05/31
2521,高雄市橋頭區,2018/05/31
2522,高雄市永安區,2018/05/31
2523,高雄市湖內區,2018/05/31
2524,高雄市燕巢區,2018/05/31
2525,高雄市田寮區,2018/05/31
2526,高雄市甲仙區,2018/05/31
2527,高雄市美濃區,2018/05/31
2528,高雄市苓雅區,2018/05/31
2529,高雄市茂林區,2018/05/31
2530,高雄市茄萣區,2018/05/31
2531,高雄市路竹區,2018/05/31
2532,高雄市那瑪夏區,2018/05/31
2533,高雄市阿蓮區,2018/05/31
2534,高雄市鳥松區,2018/05/31
2535,高雄市鳳山區,2018/05/31
2536,高雄市鹽埕區,2018/05/31
2537,高雄市鼓山區,2018/05/31
65535,不明,2018/05/31
